
These predictions were generated by FAST (v6.01, 12-Aug-2005) on 20-Dec-2013 at 13:37:52.
The aerodynamic calculations were made by AeroDyn (12.58, 28-Jun-2005).

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	TTDspFA	TTDspSS	TTDspAx	TipDxb1	TipDyb1	TipDxb2	TipDyb2	TipDxb3	TipDyb3	LSSTipPxa
   (sec)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(deg)
   0.100	-5.306E-05	-1.507E-04	 0.000E+00	 2.150E-01	 1.960E-02	 9.792E-02	-4.833E-02	 9.450E-02	 1.209E-01	 5.721E+00
   0.200	 1.291E-03	-8.909E-04	 0.000E+00	 7.522E-01	-7.606E-03	 4.189E-01	-2.349E-01	 3.658E-01	 3.667E-01	 1.144E+01
   0.300	 7.004E-03	-2.112E-03	 0.000E+00	 1.526E+00	-9.393E-02	 9.985E-01	-4.683E-01	 8.164E-01	 6.388E-01	 1.717E+01
   0.400	 1.854E-02	-3.498E-03	 0.000E+00	 2.347E+00	-2.359E-01	 1.690E+00	-6.448E-01	 1.330E+00	 8.111E-01	 2.292E+01
   0.500	 3.599E-02	-4.485E-03	-7.629E-06	 3.008E+00	-4.021E-01	 2.247E+00	-6.756E-01	 1.752E+00	 8.113E-01	 2.868E+01
   0.600	 5.960E-02	-4.583E-03	-3.052E-05	 3.449E+00	-5.252E-01	 2.575E+00	-5.030E-01	 2.066E+00	 6.684E-01	 3.449E+01
   0.700	 8.971E-02	-4.019E-03	-6.104E-05	 3.721E+00	-6.088E-01	 2.767E+00	-2.280E-01	 2.353E+00	 4.053E-01	 4.033E+01
   0.800	 1.262E-01	-3.442E-03	-1.221E-04	 3.908E+00	-6.308E-01	 2.914E+00	 4.296E-02	 2.700E+00	 1.342E-01	 4.622E+01
   0.900	 1.681E-01	-3.793E-03	-2.136E-04	 4.036E+00	-6.224E-01	 3.028E+00	 1.889E-01	 3.087E+00	-5.600E-02	 5.216E+01
   1.000	 2.135E-01	-5.739E-03	-3.510E-04	 4.126E+00	-6.295E-01	 3.092E+00	 1.404E-01	 3.464E+00	-1.205E-01	 5.812E+01
   1.100	 2.609E-01	-9.251E-03	-5.188E-04	 4.240E+00	-6.406E-01	 3.143E+00	-3.865E-02	 3.821E+00	-3.191E-02	 6.413E+01
   1.200	 3.093E-01	-1.350E-02	-7.248E-04	 4.412E+00	-6.718E-01	 3.249E+00	-2.536E-01	 4.182E+00	 1.378E-01	 7.020E+01
   1.300	 3.578E-01	-1.702E-02	-9.689E-04	 4.615E+00	-7.167E-01	 3.438E+00	-3.810E-01	 4.531E+00	 2.884E-01	 7.632E+01
   1.400	 4.047E-01	-1.852E-02	-1.244E-03	 4.768E+00	-7.570E-01	 3.655E+00	-3.442E-01	 4.809E+00	 3.259E-01	 8.252E+01
   1.500	 4.481E-01	-1.766E-02	-1.518E-03	 4.844E+00	-7.992E-01	 3.796E+00	-1.623E-01	 4.983E+00	 1.889E-01	 8.876E+01
   1.600	 4.867E-01	-1.506E-02	-1.793E-03	 4.889E+00	-8.276E-01	 3.809E+00	 1.083E-01	 5.105E+00	-8.565E-02	 9.505E+01
   1.700	 5.194E-01	-1.218E-02	-2.045E-03	 4.920E+00	-8.332E-01	 3.729E+00	 3.572E-01	 5.232E+00	-4.031E-01	 1.014E+02
   1.800	 5.445E-01	-1.055E-02	-2.243E-03	 4.893E+00	-7.876E-01	 3.604E+00	 5.027E-01	 5.386E+00	-6.286E-01	 1.078E+02
   1.900	 5.607E-01	-1.089E-02	-2.373E-03	 4.774E+00	-6.871E-01	 3.492E+00	 5.110E-01	 5.541E+00	-6.745E-01	 1.143E+02
   2.000	 5.672E-01	-1.283E-02	-2.434E-03	 4.600E+00	-5.872E-01	 3.447E+00	 3.741E-01	 5.661E+00	-5.723E-01	 1.208E+02
   2.100	 5.636E-01	-1.517E-02	-2.411E-03	 4.416E+00	-5.135E-01	 3.502E+00	 1.662E-01	 5.718E+00	-3.939E-01	 1.274E+02
   2.200	 5.505E-01	-1.670E-02	-2.296E-03	 4.302E+00	-4.928E-01	 3.680E+00	-1.906E-02	 5.701E+00	-2.497E-01	 1.340E+02
   2.300	 5.289E-01	-1.667E-02	-2.121E-03	 4.269E+00	-5.077E-01	 3.968E+00	-8.962E-02	 5.627E+00	-2.204E-01	 1.407E+02
   2.400	 5.003E-01	-1.518E-02	-1.900E-03	 4.252E+00	-5.096E-01	 4.307E+00	-1.363E-03	 5.512E+00	-3.198E-01	 1.475E+02
   2.500	 4.658E-01	-1.299E-02	-1.648E-03	 4.210E+00	-4.696E-01	 4.601E+00	 2.011E-01	 5.372E+00	-5.136E-01	 1.544E+02
   2.600	 4.271E-01	-1.079E-02	-1.373E-03	 4.134E+00	-3.807E-01	 4.796E+00	 4.177E-01	 5.242E+00	-7.329E-01	 1.613E+02
   2.700	 3.859E-01	-8.997E-03	-1.129E-03	 4.054E+00	-2.732E-01	 4.891E+00	 5.240E-01	 5.143E+00	-9.133E-01	 1.682E+02
   2.800	 3.438E-01	-7.631E-03	-9.003E-04	 3.944E+00	-1.645E-01	 4.935E+00	 4.599E-01	 5.103E+00	-9.853E-01	 1.753E+02
   2.900	 3.023E-01	-6.459E-03	-6.943E-04	 3.791E+00	-6.008E-02	 4.977E+00	 2.512E-01	 5.099E+00	-9.169E-01	 1.824E+02
   3.000	 2.631E-01	-5.336E-03	-5.264E-04	 3.641E+00	 3.093E-02	 5.028E+00	-1.684E-02	 5.065E+00	-7.393E-01	 1.896E+02
   3.100	 2.278E-01	-4.456E-03	-3.967E-04	 3.500E+00	 1.082E-01	 5.061E+00	-2.304E-01	 4.924E+00	-5.234E-01	 1.968E+02
   3.200	 1.979E-01	-4.306E-03	-3.052E-04	 3.401E+00	 1.484E-01	 5.060E+00	-3.264E-01	 4.703E+00	-3.792E-01	 2.041E+02
   3.300	 1.748E-01	-5.333E-03	-2.365E-04	 3.350E+00	 1.612E-01	 5.022E+00	-2.846E-01	 4.472E+00	-3.720E-01	 2.115E+02
   3.400	 1.591E-01	-7.641E-03	-1.984E-04	 3.333E+00	 1.540E-01	 4.934E+00	-1.580E-01	 4.268E+00	-5.095E-01	 2.189E+02
   3.500	 1.506E-01	-1.070E-02	-1.755E-04	 3.328E+00	 1.670E-01	 4.795E+00	-7.941E-03	 4.064E+00	-6.949E-01	 2.264E+02
